state,county,candidate,party,votes,combined,combined 2,winner,Color,Percent of Vote,Percentage Democrat,Lat,Lon
Maine,Cape Elizabeth,Joe Biden,DEM,5349,"Cape Elizabeth, Maine5349","Cape Elizabeth, Maine",1,#2cc5e6,0.76,0.76,43.563696,-70.2000467
Maine,Casco,Donald Trump,REP,1184,"Casco, Maine1184","Casco, Maine",1,#D74247,0.52,0.48,43.969246,-70.5211945
Maine,Cumberland,Joe Biden,DEM,4074,"Cumberland, Maine4074","Cumberland, Maine",1,#2cc5e6,0.68,0.68,43.796573,-70.2585205
Maine,Falmouth,Joe Biden,DEM,6147,"Falmouth, Maine6147","Falmouth, Maine",1,#2cc5e6,0.68,0.68,43.7435343,-70.2601759
Maine,Freeport,Joe Biden,DEM,4327,"Freeport, Maine4327","Freeport, Maine",1,#2cc5e6,0.70,0.70,43.8570065,-70.1031201
Maine,Frye Island,Joe Biden,DEM,38,"Frye Island, Maine38","Frye Island, Maine",1,#2cc5e6,0.67,0.67,43.8463263,-70.5248927
Maine,Gorham,Joe Biden,DEM,6460,"Gorham, Maine6460","Gorham, Maine",1,#2cc5e6,0.58,0.58,43.6795314,-70.4442252
Maine,Gray,Joe Biden,DEM,2653,"Gray, Maine2653","Gray, Maine",1,#2cc5e6,0.49,0.49,43.885632,-70.3317195
Maine,Harpswell,Joe Biden,DEM,2379,"Harpswell, Maine2379","Harpswell, Maine",1,#2cc5e6,0.61,0.61,43.7864342,-69.9598343
Maine,Harrison,Donald Trump,REP,796,"Harrison, Maine796","Harrison, Maine",1,#D74247,0.51,0.49,44.1103479,-70.6792289
Maine,Long Island,Joe Biden,DEM,133,"Long Island, Maine133","Long Island, Maine",1,#2cc5e6,0.70,0.70,43.6842491,-70.1711588
Maine,Naples,Donald Trump,REP,1389,"Naples, Maine1389","Naples, Maine",1,#D74247,0.56,0.44,43.986313,-70.6180214
Maine,New Gloucester,Donald Trump,REP,1757,"New Gloucester, Maine1757","New Gloucester, Maine",1,#D74247,0.49,0.51,43.962853,-70.2825536
Maine,North Yarmouth,Joe Biden,DEM,1862,"North Yarmouth, Maine1862","North Yarmouth, Maine",1,#2cc5e6,0.63,0.63,43.85735,-70.2388706
Maine,Portland,Joe Biden,DEM,33784,"Portland, Maine33784","Portland, Maine",1,#2cc5e6,0.81,0.81,43.6590993,-70.2568189
Maine,Pownal,Joe Biden,DEM,685,"Pownal, Maine685","Pownal, Maine",1,#2cc5e6,0.57,0.57,43.9133191,-70.1803764
Maine,Raymond,Joe Biden,DEM,1589,"Raymond, Maine1589","Raymond, Maine",1,#2cc5e6,0.51,0.51,43.9015631,-70.468437
Maine,Scarborough,Joe Biden,DEM,9487,"Scarborough, Maine9487","Scarborough, Maine",1,#2cc5e6,0.63,0.63,43.5901974,-70.3344921
Maine,Sebago,Donald Trump,REP,719,"Sebago, Maine719","Sebago, Maine",1,#D74247,0.56,0.44,43.8872801,-70.677518
Maine,South Portland,Joe Biden,DEM,12075,"South Portland, Maine12075","South Portland, Maine",1,#2cc5e6,0.74,0.74,43.6414716,-70.2408811
Maine,Standish,Donald Trump,REP,3076,"Standish, Maine3076","Standish, Maine",1,#D74247,0.50,0.50,43.7355927,-70.5509356
Maine,Westbrook,Joe Biden,DEM,7359,"Westbrook, Maine7359","Westbrook, Maine",1,#2cc5e6,0.65,0.65,43.6770252,-70.3711617
Maine,Windham,Joe Biden,DEM,5780,"Windham, Maine5780","Windham, Maine",1,#2cc5e6,0.51,0.51,43.7588577,-70.398706
Maine,Yarmouth,Joe Biden,DEM,4785,"Yarmouth, Maine4785","Yarmouth, Maine",1,#2cc5e6,0.75,0.75,43.8006208,-70.1867227
Maine,Carrabassett Valley,Joe Biden,DEM,348,"Carrabassett Valley, Maine348","Carrabassett Valley, Maine",1,#2cc5e6,0.66,0.66,45.0736009,-70.2616873
Maine,Eustis,Donald Trump,REP,253,"Eustis, Maine253","Eustis, Maine",1,#D74247,0.57,0.43,45.1402374,-70.438713
Maine,Farmington,Joe Biden,DEM,2225,"Farmington, Maine2225","Farmington, Maine",1,#2cc5e6,0.56,0.56,44.6704998,-70.1512169
Maine,Industry,Donald Trump,REP,253,"Industry, Maine253","Industry, Maine",1,#D74247,0.50,0.50,44.7473347,-70.0599702
Maine,Jay,Donald Trump,REP,1375,"Jay, Maine1375","Jay, Maine",1,#D74247,0.51,0.49,44.5039265,-70.2161924
Maine,Kingfield,Donald Trump,REP,444,"Kingfield, Maine444","Kingfield, Maine",1,#D74247,0.50,0.50,44.9592231,-70.1539542
Maine,New Sharon,Donald Trump,REP,528,"New Sharon, Maine528","New Sharon, Maine",1,#D74247,0.55,0.45,44.6393784,-70.0154885
Maine,New Vineyard,Donald Trump,REP,293,"New Vineyard, Maine293","New Vineyard, Maine",1,#D74247,0.63,0.37,44.804873,-70.1216248
Maine,Rangeley,Donald Trump,REP,449,"Rangeley, Maine449","Rangeley, Maine",1,#D74247,0.59,0.41,44.9656821,-70.6427102
Maine,Rangeley Plt.,Donald Trump,REP,86,"Rangeley Plt., Maine86","Rangeley Plt., Maine",1,#D74247,0.59,0.41,44.8802011,-70.705363
Maine,Strong,Donald Trump,REP,526,"Strong, Maine526","Strong, Maine",1,#D74247,0.64,0.36,44.8075572,-70.2208981
Maine,Weld,Joe Biden,DEM,149,"Weld, Maine149","Weld, Maine",1,#2cc5e6,0.50,0.50,44.6986707,-70.4214542
Maine,Wilton,Donald Trump,REP,1113,"Wilton, Maine1113","Wilton, Maine",1,#D74247,0.51,0.49,44.5926953,-70.2280983
Maine,Bar Harbor,Joe Biden,DEM,2678,"Bar Harbor, Maine2678","Bar Harbor, Maine",1,#2cc5e6,0.75,0.75,44.3876119,-68.2039123
Maine,Blue Hill,Joe Biden,DEM,1310,"Blue Hill, Maine1310","Blue Hill, Maine",1,#2cc5e6,0.66,0.66,44.4139662,-68.5866904
Maine,Brooklin,Joe Biden,DEM,426,"Brooklin, Maine426","Brooklin, Maine",1,#2cc5e6,0.68,0.68,44.2661906,-68.5691898
Maine,Brooksville,Joe Biden,DEM,450,"Brooksville, Maine450","Brooksville, Maine",1,#2cc5e6,0.66,0.66,44.3469906,-68.6847872
Maine,Bucksport,Donald Trump,REP,1481,"Bucksport, Maine1481","Bucksport, Maine",1,#D74247,0.52,0.48,44.6289696,-68.7701224
Maine,Castine,Joe Biden,DEM,346,"Castine, Maine346","Castine, Maine",1,#2cc5e6,0.69,0.69,44.3888609,-68.7989582
Maine,Cranberry Isles,Joe Biden,DEM,95,"Cranberry Isles, Maine95","Cranberry Isles, Maine",1,#2cc5e6,0.69,0.69,44.2533545,-68.1837333
Maine,Dedham,Donald Trump,REP,582,"Dedham, Maine582","Dedham, Maine",1,#D74247,0.50,0.50,44.6931707,-68.6582536
Maine,Deer Isle,Joe Biden,DEM,806,"Deer Isle, Maine806","Deer Isle, Maine",1,#2cc5e6,0.61,0.61,44.2245068,-68.6777805
Maine,Ellsworth,Donald Trump,REP,2356,"Ellsworth, Maine2356","Ellsworth, Maine",1,#D74247,0.49,0.51,44.5434095,-68.4194641
Maine,Franklin,Donald Trump,REP,459,"Franklin, Maine459","Franklin, Maine",1,#D74247,0.53,0.47,44.5874877,-68.2316054
Maine,Frenchboro,Donald Trump,REP,19,"Frenchboro, Maine19","Frenchboro, Maine",1,#D74247,0.61,0.39,44.1181384,-68.3625166
Maine,Gouldsboro,Donald Trump,REP,612,"Gouldsboro, Maine612","Gouldsboro, Maine",1,#D74247,0.55,0.45,44.47852,-68.039543
Maine,Great Pond,Donald Trump,REP,25,"Great Pond, Maine25","Great Pond, Maine",1,#D74247,0.58,0.42,44.9742128,-68.3017612
Maine,Hancock,Donald Trump,REP,778,"Hancock, Maine778","Hancock, Maine",1,#D74247,0.52,0.48,44.5291357,-68.2537463
Maine,Lamoine,Joe Biden,DEM,616,"Lamoine, Maine616","Lamoine, Maine",1,#2cc5e6,0.51,0.51,44.4911002,-68.3191852
Maine,Mount Desert,Joe Biden,DEM,1066,"Mount Desert, Maine1066","Mount Desert, Maine",1,#2cc5e6,0.72,0.72,44.3357884,-68.3193614
Maine,Orland,Donald Trump,REP,693,"Orland, Maine693","Orland, Maine",1,#D74247,0.49,0.51,44.5706252,-68.7378128
Maine,Otis,Donald Trump,REP,323,"Otis, Maine323","Otis, Maine",1,#D74247,0.67,0.33,44.7122953,-68.4528017
Maine,Penobscot,Joe Biden,DEM,512,"Penobscot, Maine512","Penobscot, Maine",1,#2cc5e6,0.60,0.60,44.4645202,-68.7111394
Maine,Sedgwick,Joe Biden,DEM,511,"Sedgwick, Maine511","Sedgwick, Maine",1,#2cc5e6,0.61,0.61,44.3040651,-68.6155184
Maine,Southwest Harbor,Joe Biden,DEM,728,"Southwest Harbor, Maine728","Southwest Harbor, Maine",1,#2cc5e6,0.64,0.64,44.2798252,-68.3249914
Maine,Stonington,Joe Biden,DEM,409,"Stonington, Maine409","Stonington, Maine",1,#2cc5e6,0.63,0.63,44.156192,-68.6666926
Maine,Surry,Joe Biden,DEM,596,"Surry, Maine596","Surry, Maine",1,#2cc5e6,0.55,0.55,44.4959099,-68.5016874
Maine,Swan's Island,Joe Biden,DEM,132,"Swan's Island, Maine132","Swan's Island, Maine",1,#2cc5e6,0.50,0.50,44.1454426,-68.4514104
Maine,Tremont,Joe Biden,DEM,590,"Tremont, Maine590","Tremont, Maine",1,#2cc5e6,0.57,0.57,44.2537017,-68.3519157
Maine,Trenton,Joe Biden,DEM,509,"Trenton, Maine509","Trenton, Maine",1,#2cc5e6,0.52,0.52,44.4389668,-68.3700178
Maine,Winter Harbor,Donald Trump,REP,179,"Winter Harbor, Maine179","Winter Harbor, Maine",1,#D74247,0.54,0.46,44.3947873,-68.0830278
Maine,Albion,Donald Trump,REP,801,"Albion, Maine801","Albion, Maine",1,#D74247,0.66,0.34,44.5322902,-69.4425423
Maine,Augusta,Joe Biden,DEM,5248,"Augusta, Maine5248","Augusta, Maine",1,#2cc5e6,0.54,0.54,44.3106241,-69.7794897
Maine,Belgrade,Donald Trump,REP,1166,"Belgrade, Maine1166","Belgrade, Maine",1,#D74247,0.52,0.48,44.4466514,-69.8321003
Maine,Benton,Donald Trump,REP,984,"Benton, Maine984","Benton, Maine",1,#D74247,0.60,0.40,44.586177,-69.5508778
Maine,Chelsea,Donald Trump,REP,917,"Chelsea, Maine917","Chelsea, Maine",1,#D74247,0.59,0.41,44.2503474,-69.7172658
Maine,China,Donald Trump,REP,1395,"China, Maine1395","China, Maine",1,#D74247,0.54,0.46,44.4786791,-69.5172641
Maine,Clinton,Donald Trump,REP,1096,"Clinton, Maine1096","Clinton, Maine",1,#D74247,0.61,0.39,44.637828,-69.5031267
Maine,Farmingdale,Joe Biden,DEM,903,"Farmingdale, Maine903","Farmingdale, Maine",1,#2cc5e6,0.52,0.52,44.2443842,-69.7714428
Maine,Fayette,Donald Trump,REP,421,"Fayette, Maine421","Fayette, Maine",1,#D74247,0.51,0.49,44.4089558,-70.0336654
Maine,Gardiner,Joe Biden,DEM,1694,"Gardiner, Maine1694","Gardiner, Maine",1,#2cc5e6,0.52,0.52,44.2300698,-69.7753222
Maine,Hallowell,Joe Biden,DEM,1277,"Hallowell, Maine1277","Hallowell, Maine",1,#2cc5e6,0.71,0.71,44.2859022,-69.7908786
Maine,Litchfield,Donald Trump,REP,1260,"Litchfield, Maine1260","Litchfield, Maine",1,#D74247,0.58,0.42,44.1740739,-69.93356
Maine,Manchester,Joe Biden,DEM,832,"Manchester, Maine832","Manchester, Maine",1,#2cc5e6,0.49,0.49,44.324513,-69.8603256
Maine,Monmouth,Donald Trump,REP,1397,"Monmouth, Maine1397","Monmouth, Maine",1,#D74247,0.54,0.46,44.238682,-70.0356069
Maine,Oakland,Donald Trump,REP,1853,"Oakland, Maine1853","Oakland, Maine",1,#D74247,0.51,0.49,44.5402221,-69.721995
Maine,Pittston,Donald Trump,REP,1034,"Pittston, Maine1034","Pittston, Maine",1,#D74247,0.58,0.42,44.2217367,-69.7555995
Maine,Randolph,Donald Trump,REP,533,"Randolph, Maine533","Randolph, Maine",1,#D74247,0.52,0.48,44.2306461,-69.7666546
Maine,Readfield,Joe Biden,DEM,943,"Readfield, Maine943","Readfield, Maine",1,#2cc5e6,0.52,0.52,44.3878453,-69.9667188
Maine,Sidney,Donald Trump,REP,1688,"Sidney, Maine1688","Sidney, Maine",1,#D74247,0.57,0.43,44.4530868,-69.7226248
Maine,Unity,Donald Trump,REP,455,"Unity, Maine455","Unity, Maine",1,#D74247,0.48,0.52,44.6111643,-69.3345032
Maine,Vassalboro,Donald Trump,REP,1394,"Vassalboro, Maine1394","Vassalboro, Maine",1,#D74247,0.55,0.45,44.4588807,-69.6777605
Maine,Vienna,Donald Trump,REP,208,"Vienna, Maine208","Vienna, Maine",1,#D74247,0.51,0.49,44.5333976,-69.9847779
Maine,Waterville,Joe Biden,DEM,4991,"Waterville, Maine4991","Waterville, Maine",1,#2cc5e6,0.63,0.63,44.5520105,-69.6317121
Maine,Wayne,Joe Biden,DEM,506,"Wayne, Maine506","Wayne, Maine",1,#2cc5e6,0.58,0.58,44.3486793,-70.0661649
Maine,West Gardiner,Donald Trump,REP,1317,"West Gardiner, Maine1317","West Gardiner, Maine",1,#D74247,0.55,0.45,44.2275119,-69.8864259
Maine,Windsor,Donald Trump,REP,899,"Windsor, Maine899","Windsor, Maine",1,#D74247,0.63,0.37,44.3106263,-69.580599
Maine,Winslow,Donald Trump,REP,2360,"Winslow, Maine2360","Winslow, Maine",1,#D74247,0.50,0.50,44.5459679,-69.6203137
Maine,Winthrop,Joe Biden,DEM,1963,"Winthrop, Maine1963","Winthrop, Maine",1,#2cc5e6,0.53,0.53,44.3050332,-69.9769721
Maine,Appleton,Joe Biden,DEM,478,"Appleton, Maine478","Appleton, Maine",1,#2cc5e6,0.52,0.52,44.289243,-69.2508768
Maine,Camden,Joe Biden,DEM,2931,"Camden, Maine2931","Camden, Maine",1,#2cc5e6,0.76,0.76,44.2097928,-69.0647838
Maine,Cushing,Donald Trump,REP,520,"Cushing, Maine520","Cushing, Maine",1,#D74247,0.54,0.46,44.0137798,-69.2614502
Maine,Friendship,Donald Trump,REP,477,"Friendship, Maine477","Friendship, Maine",1,#D74247,0.60,0.40,43.9838019,-69.3341229
Maine,Hope,Joe Biden,DEM,653,"Hope, Maine653","Hope, Maine",1,#2cc5e6,0.58,0.58,44.2650248,-69.1589421
Maine,Owl's Head,Joe Biden,DEM,584,"Owl's Head, Maine584","Owl's Head, Maine",1,#2cc5e6,0.55,0.55,44.082303,-69.0572612
Maine,Rockland,Joe Biden,DEM,2493,"Rockland, Maine2493","Rockland, Maine",1,#2cc5e6,0.63,0.63,44.1036914,-69.1089293
Maine,Rockport,Joe Biden,DEM,1694,"Rockport, Maine1694","Rockport, Maine",1,#2cc5e6,0.67,0.67,44.1844817,-69.0760975
Maine,St. George,Joe Biden,DEM,1108,"St. George, Maine1108","St. George, Maine",1,#2cc5e6,0.61,0.61,44.0164709,-69.1989341
Maine,South Thomaston,Joe Biden,DEM,574,"South Thomaston, Maine574","South Thomaston, Maine",1,#2cc5e6,0.58,0.58,44.051497,-69.1277274
Maine,Thomaston,Joe Biden,DEM,960,"Thomaston, Maine960","Thomaston, Maine",1,#2cc5e6,0.58,0.58,44.0789574,-69.1816955
Maine,Union,Donald Trump,REP,786,"Union, Maine786","Union, Maine",1,#D74247,0.50,0.50,44.2296917,-69.293927
Maine,Vinalhaven,Joe Biden,DEM,531,"Vinalhaven, Maine531","Vinalhaven, Maine",1,#2cc5e6,0.63,0.63,44.0487345,-68.836749
Maine,Warren,Donald Trump,REP,1258,"Warren, Maine1258","Warren, Maine",1,#D74247,0.56,0.44,44.116967,-69.2531464
Maine,Washington,Donald Trump,REP,540,"Washington, Maine540","Washington, Maine",1,#D74247,0.55,0.45,44.2735583,-69.3676576
Maine,Alna,Joe Biden,DEM,320,"Alna, Maine320","Alna, Maine",1,#2cc5e6,0.62,0.62,44.1061869,-69.6036567
Maine,Boothbay,Joe Biden,DEM,1229,"Boothbay, Maine1229","Boothbay, Maine",1,#2cc5e6,0.56,0.56,43.8762865,-69.6337364
Maine,Boothbay Harbor,Joe Biden,DEM,814,"Boothbay Harbor, Maine814","Boothbay Harbor, Maine",1,#2cc5e6,0.58,0.58,43.8523045,-69.6281014
Maine,Bristol,Joe Biden,DEM,1275,"Bristol, Maine1275","Bristol, Maine",1,#2cc5e6,0.60,0.60,43.9248053,-69.4954131
Maine,Damariscotta,Joe Biden,DEM,980,"Damariscotta, Maine980","Damariscotta, Maine",1,#2cc5e6,0.66,0.66,44.0328765,-69.5188885
Maine,Dresden,Donald Trump,REP,580,"Dresden, Maine580","Dresden, Maine",1,#D74247,0.50,0.50,44.1070945,-69.7242215
Maine,Jefferson,Donald Trump,REP,951,"Jefferson, Maine951","Jefferson, Maine",1,#D74247,0.56,0.44,44.2067419,-69.4525442
Maine,Monhegan Plt.,Joe Biden,DEM,51,"Monhegan Plt., Maine51","Monhegan Plt., Maine",1,#2cc5e6,0.82,0.82,43.7623065,-69.3203238
Maine,Newcastle,Joe Biden,DEM,923,"Newcastle, Maine923","Newcastle, Maine",1,#2cc5e6,0.67,0.67,44.0365242,-69.5386186
Maine,Nobleboro,Joe Biden,DEM,729,"Nobleboro, Maine729","Nobleboro, Maine",1,#2cc5e6,0.57,0.57,44.0795596,-69.4851938
Maine,Somerville,Donald Trump,REP,213,"Somerville, Maine213","Somerville, Maine",1,#D74247,0.60,0.40,44.3092443,-69.4889674
Maine,South Bristol,Joe Biden,DEM,429,"South Bristol, Maine429","South Bristol, Maine",1,#2cc5e6,0.60,0.60,43.8639715,-69.5611575
Maine,Southport,Joe Biden,DEM,306,"Southport, Maine306","Southport, Maine",1,#2cc5e6,0.62,0.62,43.8409158,-69.6586568
Maine,Waldoboro,Donald Trump,REP,1568,"Waldoboro, Maine1568","Waldoboro, Maine",1,#D74247,0.53,0.47,44.0952725,-69.3756017
Maine,Westport,Joe Biden,DEM,303,"Westport, Maine303","Westport, Maine",1,#2cc5e6,0.55,0.55,43.9185554,-69.6974417
Maine,Whitefield,Donald Trump,REP,753,"Whitefield, Maine753","Whitefield, Maine",1,#D74247,0.51,0.49,44.1700735,-69.6253222
Maine,Wiscasset,Joe Biden,DEM,1114,"Wiscasset, Maine1114","Wiscasset, Maine",1,#2cc5e6,0.48,0.48,44.0028921,-69.665583
Maine,Andover,Donald Trump,REP,293,"Andover, Maine293","Andover, Maine",1,#D74247,0.54,0.46,44.6356166,-70.7511813
Maine,Bethel,Joe Biden,DEM,1006,"Bethel, Maine1006","Bethel, Maine",1,#2cc5e6,0.55,0.55,44.4044586,-70.7898806
Maine,Brownfield,Joe Biden,DEM,468,"Brownfield, Maine468","Brownfield, Maine",1,#2cc5e6,0.48,0.48,43.9381275,-70.9086768
Maine,Buckfield,Donald Trump,REP,636,"Buckfield, Maine636","Buckfield, Maine",1,#D74247,0.58,0.42,44.2895134,-70.3653359
Maine,Canton,Donald Trump,REP,374,"Canton, Maine374","Canton, Maine",1,#D74247,0.69,0.31,44.4406212,-70.3153378
Maine,Denmark,Joe Biden,DEM,404,"Denmark, Maine404","Denmark, Maine",1,#2cc5e6,0.49,0.49,43.9703491,-70.8033966
Maine,Dixfield,Donald Trump,REP,803,"Dixfield, Maine803","Dixfield, Maine",1,#D74247,0.62,0.38,44.5313932,-70.4563366
Maine,Fryeburg,Joe Biden,DEM,1060,"Fryeburg, Maine1060","Fryeburg, Maine",1,#2cc5e6,0.55,0.55,44.0164329,-70.9806357
Maine,Greenwood,Joe Biden,DEM,278,"Greenwood, Maine278","Greenwood, Maine",1,#2cc5e6,0.52,0.52,44.3184011,-70.6508978
Maine,Hanover,Joe Biden,DEM,101,"Hanover, Maine101","Hanover, Maine",1,#2cc5e6,0.51,0.51,44.4967315,-70.6942351
Maine,Hartford,Donald Trump,REP,428,"Hartford, Maine428","Hartford, Maine",1,#D74247,0.59,0.41,44.372845,-70.346726
Maine,Hebron,Donald Trump,REP,427,"Hebron, Maine427","Hebron, Maine",1,#D74247,0.55,0.45,44.1981261,-70.4064465
Maine,Hiram,Donald Trump,REP,528,"Hiram, Maine528","Hiram, Maine",1,#D74247,0.57,0.43,43.8350627,-70.8322512
Maine,Lovell,Joe Biden,DEM,399,"Lovell, Maine399","Lovell, Maine",1,#2cc5e6,0.52,0.52,44.1255995,-70.8930466
Maine,Mexico,Donald Trump,REP,676,"Mexico, Maine676","Mexico, Maine",1,#D74247,0.53,0.47,44.5571093,-70.5433579
Maine,Newry,Joe Biden,DEM,163,"Newry, Maine163","Newry, Maine",1,#2cc5e6,0.55,0.55,44.4884245,-70.7885765
Maine,Norway,Joe Biden,DEM,1400,"Norway, Maine1400","Norway, Maine",1,#2cc5e6,0.49,0.49,44.2139566,-70.5448096
Maine,Otisfield,Donald Trump,REP,605,"Otisfield, Maine605","Otisfield, Maine",1,#D74247,0.52,0.48,44.0903488,-70.5492259
Maine,Oxford,Donald Trump,REP,1456,"Oxford, Maine1456","Oxford, Maine",1,#D74247,0.63,0.37,44.1317459,-70.4931557
Maine,Paris,Donald Trump,REP,1494,"Paris, Maine1494","Paris, Maine",1,#D74247,0.52,0.48,44.2597917,-70.5006152
Maine,Peru,Donald Trump,REP,561,"Peru, Maine561","Peru, Maine",1,#D74247,0.62,0.38,44.5065458,-70.4062771
Maine,Porter,Donald Trump,REP,521,"Porter, Maine521","Porter, Maine",1,#D74247,0.60,0.40,43.7961667,-70.9332266
Maine,Rumford,Donald Trump,REP,1502,"Rumford, Maine1502","Rumford, Maine",1,#D74247,0.52,0.48,44.5536606,-70.5508829
Maine,Sumner,Donald Trump,REP,324,"Sumner, Maine324","Sumner, Maine",1,#D74247,0.59,0.41,44.3920113,-70.4383944
Maine,Waterford,Donald Trump,REP,557,"Waterford, Maine557","Waterford, Maine",1,#D74247,0.54,0.46,44.1932639,-70.7091738
Maine,West Paris,Donald Trump,REP,552,"West Paris, Maine552","West Paris, Maine",1,#D74247,0.58,0.42,44.3243357,-70.5736688
Maine,Woodstock,Donald Trump,REP,534,"Woodstock, Maine534","Woodstock, Maine",1,#D74247,0.58,0.42,44.4010489,-70.5994659
Maine,Bangor,Joe Biden,DEM,8575,"Bangor, Maine8575","Bangor, Maine",1,#2cc5e6,0.58,0.58,44.8016128,-68.7712257
Maine,Bradley,Donald Trump,REP,485,"Bradley, Maine485","Bradley, Maine",1,#D74247,0.54,0.46,44.9167519,-68.6276101
Maine,Brewer,Donald Trump,REP,2568,"Brewer, Maine2568","Brewer, Maine",1,#D74247,0.49,0.51,44.7967378,-68.7614246
Maine,Burlington,Donald Trump,REP,145,"Burlington, Maine145","Burlington, Maine",1,#D74247,0.70,0.30,45.2092264,-68.4266875
Maine,Carmel,Donald Trump,REP,1183,"Carmel, Maine1183","Carmel, Maine",1,#D74247,0.66,0.34,44.7975688,-69.0511537
Maine,Carroll Plt.,Donald Trump,REP,73,"Carroll Plt., Maine73","Carroll Plt., Maine",1,#D74247,0.81,0.19,45.4144799,-68.0366118
Maine,Charleston,Donald Trump,REP,580,"Charleston, Maine580","Charleston, Maine",1,#D74247,0.77,0.23,45.0850615,-69.0405949
Maine,Clifton,Donald Trump,REP,324,"Clifton, Maine324","Clifton, Maine",1,#D74247,0.61,0.39,44.8167372,-68.511138
Maine,Corinna,Donald Trump,REP,847,"Corinna, Maine847","Corinna, Maine",1,#D74247,0.68,0.32,44.921174,-69.2617131
Maine,Corinth,Donald Trump,REP,1147,"Corinth, Maine1147","Corinth, Maine",1,#D74247,0.73,0.27,44.9861321,-68.9991802
Maine,Dexter,Donald Trump,REP,1169,"Dexter, Maine1169","Dexter, Maine",1,#D74247,0.63,0.37,45.023918,-69.2898156
Maine,Dixmont,Donald Trump,REP,446,"Dixmont, Maine446","Dixmont, Maine",1,#D74247,0.61,0.39,44.6803471,-69.1628221
Maine,East Millinocket,Donald Trump,REP,1470,"East Millinocket, Maine1470","East Millinocket, Maine",1,#D74247,0.55,0.45,45.6283853,-68.5725796
Maine,Eddington,Donald Trump,REP,903,"Eddington, Maine903","Eddington, Maine",1,#D74247,0.61,0.39,44.8265844,-68.6935362
Maine,Enfield,Donald Trump,REP,585,"Enfield, Maine585","Enfield, Maine",1,#D74247,0.67,0.33,45.248726,-68.5658766
Maine,Etna,Donald Trump,REP,495,"Etna, Maine495","Etna, Maine",1,#D74247,0.68,0.32,44.8209007,-69.111155
Maine,Exeter,Donald Trump,REP,366,"Exeter, Maine366","Exeter, Maine",1,#D74247,0.64,0.36,44.9621841,-69.1225343
Maine,Garland,Donald Trump,REP,409,"Garland, Maine409","Garland, Maine",1,#D74247,0.68,0.32,45.0383951,-69.1603206
Maine,Glenburn,Donald Trump,REP,1612,"Glenburn, Maine1612","Glenburn, Maine",1,#D74247,0.57,0.43,44.9168621,-68.8457461
Maine,Greenbush,Donald Trump,REP,499,"Greenbush, Maine499","Greenbush, Maine",1,#D74247,0.70,0.30,45.0803409,-68.6508635
Maine,Hampden,Joe Biden,DEM,2451,"Hampden, Maine2451","Hampden, Maine",1,#2cc5e6,0.50,0.50,44.7445421,-68.8370436
Maine,Hermon,Donald Trump,REP,2427,"Hermon, Maine2427","Hermon, Maine",1,#D74247,0.61,0.39,44.81007,-68.9133724
Maine,Holden,Donald Trump,REP,1200,"Holden, Maine1200","Holden, Maine",1,#D74247,0.56,0.44,44.7528499,-68.6789218
Maine,Howland,Donald Trump,REP,390,"Howland, Maine390","Howland, Maine",1,#D74247,0.61,0.39,45.2431227,-68.6588563
Maine,Hudson,Donald Trump,REP,484,"Hudson, Maine484","Hudson, Maine",1,#D74247,0.79,0.21,45.0011783,-68.8805923
Maine,Kenduskeag,Donald Trump,REP,514,"Kenduskeag, Maine514","Kenduskeag, Maine",1,#D74247,0.67,0.33,44.9195128,-68.9317049
Maine,Lee,Donald Trump,REP,350,"Lee, Maine350","Lee, Maine",1,#D74247,0.69,0.31,45.3600615,-68.2864076
Maine,Levant,Donald Trump,REP,1149,"Levant, Maine1149","Levant, Maine",1,#D74247,0.68,0.32,44.8692358,-68.9347611
Maine,Lincoln,Donald Trump,REP,1723,"Lincoln, Maine1723","Lincoln, Maine",1,#D74247,0.66,0.34,45.3622301,-68.5050006
Maine,Lowell,Donald Trump,REP,193,"Lowell, Maine193","Lowell, Maine",1,#D74247,0.76,0.24,45.1874242,-68.4667778
Maine,Mattawamkeag,Donald Trump,REP,257,"Mattawamkeag, Maine257","Mattawamkeag, Maine",1,#D74247,0.66,0.34,45.5136701,-68.3544669
Maine,Milford,Donald Trump,REP,922,"Milford, Maine922","Milford, Maine",1,#D74247,0.50,0.50,44.946216,-68.6439667
Maine,Millinocket,Donald Trump,REP,1310,"Millinocket, Maine1310","Millinocket, Maine",1,#D74247,0.55,0.45,45.6572639,-68.7098119
Maine,Mount Chase,Donald Trump,REP,81,"Mount Chase, Maine81","Mount Chase, Maine",1,#D74247,0.66,0.34,46.0700655,-68.5170939
Maine,Newburgh,Donald Trump,REP,599,"Newburgh, Maine599","Newburgh, Maine",1,#D74247,0.60,0.40,44.7173675,-69.0003898
Maine,Old Town,Joe Biden,DEM,2365,"Old Town, Maine2365","Old Town, Maine",1,#2cc5e6,0.56,0.56,44.9342349,-68.6453092
Maine,Orono,Joe Biden,DEM,3728,"Orono, Maine3728","Orono, Maine",1,#2cc5e6,0.71,0.71,44.8831125,-68.6719411
Maine,Orrington,Donald Trump,REP,1405,"Orrington, Maine1405","Orrington, Maine",1,#D74247,0.55,0.45,44.7202096,-68.7904626
Maine,Plymouth,Donald Trump,REP,505,"Plymouth, Maine505","Plymouth, Maine",1,#D74247,0.68,0.32,44.7672891,-69.2103252
